Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
pge05,b,pgec05b2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge05,c,pgec05c2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge05,d,pgec05d2018,pge,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pge06,a,pgec06a2018,pge,2018,none,none,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge06,b,pgec06b2018,pge,2018,none,none,3,2,1,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pge06,c,pgec06c2018,pge,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pge06,d,pgec06d2018,pge,2018,none,none,2,0,1,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pge07,a,pgec07a2018,pge,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pge07,b,pgec07b2018,pge,2018,none,none,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge07,c,pgec07c2018,pge,2018,none,none,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge07,d,pgec07d2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge08,a,pgec08a2018,pge,2018,none,none,9,1,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge08,b,pgec08b2018,pge,2018,none,none,10,1,0,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
pge08,c,pgec08c2018,pge,2018,none,none,25,2,0,NA,27,5.541666667,1.863333333,5.976666667,3.336666667
pge08,d,pgec08d2018,pge,2018,none,none,40,3,0,NA,43,5.541666667,1.863333333,5.976666667,3.336666667
pge09,a,pgec09a2018,pge,2018,none,none,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pge09,b,pgec09b2018,pge,2018,none,none,3,0,0,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pge09,c,pgec09c2018,pge,2018,none,none,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge09,d,pgec09d2018,pge,2018,none,none,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pge10,a,pgec10a2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge10,b,pgec10b2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge10,c,pgec10c2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge10,d,pgec10d2018,pge,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,a,pgwc01a2018,pgw,2018,none,none,0,1,1,NA,32,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,b,pgwc01b2018,pgw,2018,none,none,1,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,c,pgwc01c2018,pgw,2018,none,none,13,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
