Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment
pgw05,b,pgw052020,pgw,2020,2017,none,0,0,0,36,36,control
pgw05,c,pgw052020,pgw,2020,2017,none,0,0,0,2,2,control
pgw05,d,pgw052020,pgw,2020,2017,none,0,0,0,20,20,control
pgw06,a,pgw062018,pgw,2018,2017,rx,4,0,0,NA,4,burn
pgw06,b,pgw062018,pgw,2018,2017,rx,3,0,0,NA,3,burn
pgw06,c,pgw062018,pgw,2018,2017,rx,9,0,0,NA,9,burn
pgw06,d,pgw062018,pgw,2018,2017,rx,8,0,0,NA,8,burn
pgw06,a,pgw062018,pgw,2018,none,none,1,1,0,NA,10,control
pgw06,b,pgw062018,pgw,2018,none,none,0,0,0,NA,1,control
pgw06,c,pgw062018,pgw,2018,none,none,0,1,0,NA,1,control
pgw06,d,pgw062018,pgw,2018,none,none,10,0,0,NA,0,control
pgw06,a,pgw062019,pgw,2019,2017,rx,4,0,0,NA,4,burn
pgw06,b,pgw062019,pgw,2019,2017,rx,0,0,0,NA,0,burn
pgw06,c,pgw062019,pgw,2019,2017,rx,3,0,1,NA,4,burn
pgw06,d,pgw062019,pgw,2019,2017,rx,15,0,1,NA,16,burn
pgw06,a,pgw062019,pgw,2019,none,none,0,0,0,NA,0,control
pgw06,b,pgw062019,pgw,2019,none,none,5,0,0,NA,5,control
pgw06,c,pgw062019,pgw,2019,none,none,0,0,0,NA,0,control
pgw06,d,pgw062019,pgw,2019,none,none,30,1,0,NA,31,control
