"","Site","Treatment","Quad","ID","ng.cov","nng.cov","nnf.cov","nf.cov","BRODIA","EROBOT","FESMYU","SANARG","STIPUL","ACARAR","AVEBAR","AVEFAT","BROMAD","CENMEL","UNKNOWN","BROHOR","LASGRA","SPEMAC","LEPNIT","SALTRA","ACHMIL","EROCIC","SONOLE","DAUPUS","LUPBIC","MAFOFO","GILNEV","CALMEN","AVESPP","EROMOS","GALAPA","CRYINT","BROKIN","PTEDRY","CRACON","CALCIL","FESSPP","JEPMAL","HYPGLA","PELAND","AMBPUS","DICCAP","ALLPRA","CALMAC","OPULIT","AMSINT","AMSMEN","VIOPED"
"62","PGE","control","C","PGE04",0.505647590361446,1.02550350262697,1.30818965517241,0.239905498281787,0.5,0,0,0,0.125,0,0.0625,0,0.0625,0.25,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","PGE","control","C","PGE05",0.505647590361446,1.36733800350263,0.872126436781609,0.239905498281787,0.0625,0.1875,0.125,0,0.25,0,0,0.0625,0.0625,0.125,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","PGE","control","C","PGE06",0,0.683669001751314,1.74425287356322,0.479810996563574,0.25,0.5,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0.25,0.125,0,0,0.125,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","PGE","control","C","PGE07",0,1.36733800350263,1.30818965517241,0.239905498281787,0,0,0.125,0,0,0,0,0.125,0.25,0.0625,0,0.0625,0,0,0,0,0,0.375,0.0625,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","PGE","control","C","PGE08",0,0.683669001751314,0.872126436781609,0.959621993127148,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"67","PGE","control","C","PGE09",0.44946452476573,0.607705779334501,0.77522349936143,0.852997327224131,0.444444444444444,0,0.111111111111111,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0.222222222222222,0.111111111111111,0,0,0,0,0,0.111111111111111,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","PGE","control","C","PGE10",0.367743702081052,0.745820729183251,0.95141065830721,0.697906904092471,0.0909090909090909,0.0909090909090909,0,0,0.545454545454545,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","PGE","control","D","PGE01",0.44946452476573,1.215411558669,0.387611749680715,0.639747995418099,0.222222222222222,0.222222222222222,0,0,1.88888888888889,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","PGE","control","D","PGE02",0.674196787148594,1.36733800350263,1.16283524904215,0,0.0833333333333333,0.0833333333333333,0,0,0.5,0,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","PGE","control","D","PGE03",0,1.36733800350263,1.74425287356322,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0.166666666666667,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","PGE","control","D","PGE04",0.809036144578313,1.64080560420315,0.697701149425287,0,2.4,0,0,0,1.4,0,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","PGE","control","D","PGE05",0,1.36733800350263,1.16283524904215,0,2.33333333333333,0,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
